flow id:,first send:,last send:,last arrive:,send num:,receive num:,send size:,receive size:,FCT:,origin_pg:
11:0:21 11:0:41 10003 100 17,2.000123197,15.931731878,16.288471407,352,367,8336,8336,14.28834821,1
11:0:21 11:0:41 10004 100 17,2.000170596,29.166814364,29.512105615,1264,1297,8207,8207,27.511935019,1
11:0:21 11:0:41 10068 100 17,2.00809354,199.856760346,199.856734348,66154,66151,945000,943500,197.848640808,3
11:0:21 11:0:41 10005 100 17,2.000192195,15.408686037,15.770957111,326,339,8363,8363,13.770764916,1
11:0:21 11:0:41 10088 100 17,2.014180721,199.855393551,199.855367553,65781,65777,915420,913960,197.841186832,3
11:0:21 11:0:41 10039 100 17,2.001879763,12.89615974,13.279003012,247,260,8353,8353,11.277123249,1
11:0:21 11:0:41 10015 100 17,2.000700385,15.524334985,15.886244671,332,345,8263,8263,13.885544286,1
11:0:21 11:0:41 10006 100 17,2.000230394,31.254300177,31.593176841,1434,1469,8226,8226,29.592946447,1
11:0:21 11:0:41 10041 100 17,2.001992361,13.701248106,14.075849763,275,290,8217,8217,12.073857402,1
11:0:21 11:0:41 10011 100 17,2.000470589,14.570239067,14.93842866,314,334,8277,8277,12.937958071,1
11:0:21 11:0:41 10056 100 17,2.004540349,199.901593415,199.901567417,66180,66177,935521,934021,197.897027068,3
11:0:21 11:0:41 10081 100 17,2.012010328,199.867063116,199.867037118,66158,66155,943540,942040,197.85502679,3
11:0:21 11:0:41 10034 100 17,2.001640968,17.98446518,18.343092797,459,478,8344,8344,16.341451829,1
11:0:21 11:0:41 10007 100 17,2.000254793,15.16027414,15.524088387,339,357,8227,8227,13.523833594,1
11:0:21 11:0:41 10060 100 17,2.005777145,199.905278204,199.905252206,66184,66181,945000,943500,197.899475061,3
11:0:21 11:0:41 10049 100 17,2.003244555,61.440191813,61.760884613,5800,5863,65869,65869,59.757640058,2
11:0:21 11:0:41 10051 100 17,2.003734553,70.24862961,70.564378889,7665,7734,66436,66436,68.560644336,2
11:0:21 11:0:41 10008 100 17,2.000306992,19.874682109,20.225035982,575,600,8241,8241,18.22472899,1
11:0:21 11:0:41 10035 100 17,2.001662567,9.077894704,9.474786214,120,130,8324,8324,7.473123647,1
11:0:21 11:0:41 10002 100 17,2.000083798,15.271814438,15.633812101,318,331,8439,8439,13.633728303,1
11:0:21 11:0:41 10010 100 17,2.00041659,15.932708274,16.289513202,352,367,8322,8322,14.289096612,1
11:0:21 11:0:41 10031 100 17,2.001517971,32.635834425,32.975828949,1560,1590,8255,8255,30.974310978,1
11:0:21 11:0:41 10082 100 17,2.012321527,199.869783707,199.869757709,66162,66159,945000,943500,197.857436182,3
