flow id:,first send:,last send:,last arrive:,send num:,receive num:,send size:,receive size:,FCT:,origin_pg:
11:0:21 11:0:41 10050 100 17,2.003471954,28.453228644,28.797598353,1362,1387,65883,65883,26.794126399,2
11:0:21 11:0:41 10052 100 17,2.003977152,35.971783207,36.300827383,1933,1967,62399,62399,34.296850231,2
11:0:21 11:0:41 10057 100 17,2.004851548,199.806337179,199.806311181,66250,66247,944303,942803,197.801459633,3
11:0:31 11:0:41 10099 100 17,2.015560908,199.752916339,199.752882341,65968,65964,911106,909646,197.737321433,3
11:0:31 11:0:41 10095 100 17,2.014397511,199.769766086,199.769740088,66228,66225,945000,943500,197.755342577,3
11:0:31 11:0:41 10092 100 17,2.014043114,140.785930098,141.086909003,29066,29198,605139,605139,139.072865889,3
11:0:31 11:0:41 10090 100 17,2.013718316,199.767470893,199.767444895,66225,66222,919800,918340,197.753726579,3
11:0:31 11:0:41 10088 100 17,2.013113517,39.58504226,39.910214828,2336,2373,151008,151008,37.897101311,3
11:0:31 11:0:41 10087 100 17,2.012802318,199.765100501,199.765074503,66225,66222,945000,943500,197.752272185,3
11:0:31 11:0:41 10085 100 17,2.012197519,199.763568506,199.763542508,66224,66221,914760,913308,197.751344989,3
11:0:31 11:0:41 10084 100 17,2.01188632,199.762652508,199.76262651,66223,66220,945000,943500,197.75074019,3
11:0:31 11:0:41 10080 100 17,2.010727323,199.759965116,199.759939118,66218,66215,941003,939503,197.749211795,3
11:0:31 11:0:41 10079 100 17,2.010424124,199.759653917,199.759627919,66218,66215,918357,916897,197.749203795,3
11:0:31 11:0:41 10078 100 17,2.010120925,199.757799123,199.757773125,66218,66214,919800,918340,197.7476522,3
11:0:31 11:0:41 10076 100 17,2.009796127,199.821865135,199.821839137,66258,66255,911280,909820,197.81204301,3
11:0:31 11:0:41 10075 100 17,2.009572128,199.750448746,199.750422748,64919,64913,665912,664848,197.74085062,3
11:0:31 11:0:41 10093 100 17,2.014064713,199.768394891,199.768368893,66226,66223,942080,940580,197.75430418,3
11:0:31 11:0:41 10074 100 17,2.009260929,199.756315528,199.75628953,66217,66214,940973,939473,197.747028601,3
11:0:31 11:0:41 10073 100 17,2.00894973,199.75569313,199.755667132,66217,66214,941386,939886,197.746717402,3
11:0:31 11:0:41 10072 100 17,2.008638531,42.433604843,42.762460824,2703,2743,168202,168202,40.753822293,3
11:0:31 11:0:41 10070 100 17,2.008024133,199.754145135,199.754119137,66216,66213,943540,942040,197.746095004,3
11:0:31 11:0:41 10081 100 17,2.011038522,199.836010093,199.835984095,66300,66296,694055,692962,197.824945573,3
11:0:31 11:0:41 10069 100 17,2.007720934,199.753522737,199.753496739,66216,66213,919800,918340,197.745775805,3
11:0:31 11:0:41 10068 100 17,2.007417735,199.821561936,199.821535938,62234,62220,862897,861437,197.814118203,3
11:0:31 11:0:41 10066 100 17,2.006980137,199.813154958,199.81312896,66299,66295,366952,366376,197.806148823,3
11:0:31 11:0:41 10071 100 17,2.008335332,199.754456334,199.754422336,66216,66213,919800,918340,197.746087004,3
11:0:31 11:0:41 10065 100 17,2.006958538,170.277415468,170.572289994,42416,42573,711612,711612,168.565331456,3
11:0:31 11:0:41 10064 100 17,2.006656938,199.800008199,199.799982201,66248,66245,914760,913308,197.793325263,3
11:0:31 11:0:41 10063 100 17,2.006345739,199.798773002,199.798747004,66248,66245,945000,943500,197.792401265,3
11:0:31 11:0:41 10062 100 17,2.00603454,199.797004806,199.796978808,66246,66243,945000,943500,197.790944268,3
11:0:31 11:0:41 10061 100 17,2.005723341,199.794915812,199.794889814,66244,66241,945000,943500,197.789166473,3
11:0:31 11:0:41 10060 100 17,2.005412142,199.792973818,199.79294782,66244,66241,942080,940580,197.787535678,3
11:0:31 11:0:41 10059 100 17,2.005108943,199.790579426,199.790553428,66244,66241,919800,918340,197.785444485,3
11:0:31 11:0:41 10021 100 17,2.00103638,6.96492198,6.965257781,172,177,8272,8272,4.964221401,1
11:0:31 11:0:41 10024 100 17,2.001138377,6.719858404,6.720109601,190,199,8304,8304,4.718971224,1
11:0:31 11:0:41 10083 100 17,2.011579521,199.750755545,199.750729547,65174,65167,800348,800296,197.739150026,3
11:0:31 11:0:41 10020 100 17,2.001008181,4.517798311,4.618616258,62,76,1067,1067,2.617608077,1
11:0:31 11:0:41 10027 100 17,2.001320374,7.07547197,7.075615768,210,214,8439,8439,5.074295394,1
11:0:31 11:0:41 10055 100 17,2.003880147,199.910488275,199.910462277,62407,62395,755687,754227,197.90658213,3
11:0:31 11:0:41 10018 100 17,2.000876183,6.719647208,6.719926005,212,215,8356,8356,4.719049822,1
